"nodes","ancestors","times","labels","meta.other","meta.dd.paed","metap.np.other","metap.np.dd.paed"
"1",NA,0,"","metamorphosis","metamorphosis","meta-np","meta-np"
"2","7",0.949226331365745,"","metamorphosis","metamorphosis","meta-np","meta-np"
"3","5",0.766181890682105,"","metamorphosis","metamorphosis","meta-np","meta-np"
"4","5",0.813603361312349,"","metamorphosis","metamorphosis","meta-np","meta-np"
"5","6",0.745601033200921,"","metamorphosis","metamorphosis","meta-np","meta-np"
"6","7",0.457520523742478,"","metamorphosis","metamorphosis","meta-np","meta-np"
"7","1",0.206242345336965,"","metamorphosis","metamorphosis","meta-np","meta-np"
"8","9",0.90826322989106,"","other","paedomorphosis","other","paedomorphosis"
"9","117",0.737652516313641,"","other","paedomorphosis","other","paedomorphosis"
"10","11",0.970368369768593,"","metamorphosis","metamorphosis","meta-np","meta-np"
"11","12",0.953046375516398,"","metamorphosis","metamorphosis","meta-np","meta-np"
"12","13",0.907824864809654,"","metamorphosis","metamorphosis","meta-np","meta-np"
"13","14",0.894581229696722,"","metamorphosis","metamorphosis","meta-np","meta-np"
"14","21",0.49770129977577,"","metamorphosis","metamorphosis","meta-np","meta-np"
"15","19",0.979385981127298,"","metamorphosis","metamorphosis","meta-np","meta-np"
"16","17",0.971972167698691,"","metamorphosis","metamorphosis","meta-np","meta-np"
"17","18",0.966851138985785,"","metamorphosis","metamorphosis","meta-np","meta-np"
"18","19",0.963487493546493,"","metamorphosis","metamorphosis","meta-np","meta-np"
"19","20",0.914200188515269,"","metamorphosis","metamorphosis","meta-np","meta-np"
"20","21",0.782625493232632,"","metamorphosis","metamorphosis","meta-np","meta-np"
"21","116",0.24233773735293,"","metamorphosis","metamorphosis","meta-np","meta-np"
"22","115",0.415467699026419,"","other","paedomorphosis","other","paedomorphosis"
"23","24",0.882975402243086,"","other","direct development","other","direct development"
"24","25",0.778833927971163,"","other","direct development","other","direct development"
"25","46",0.648080169692355,"","other","direct development","other","direct development"
"26","27",0.89263324550004,"","other","direct development","other","direct development"
"27","28",0.80942664715836,"","other","direct development","other","direct development"
"28","34",0.777685932212904,"","other","direct development","other","direct development"
"29","33",0.929028405907855,"","other","direct development","other","direct development"
"30","31",0.921407496628907,"","other","direct development","other","direct development"
"31","32",0.900921462089545,"","other","direct development","other","direct development"
"32","33",0.844129209332882,"","other","direct development","other","direct development"
"33","34",0.817954341361908,"","other","direct development","other","direct development"
"34","45",0.715216317384506,"","other","direct development","other","direct development"
"35","36",0.905191626806779,"","metamorphosis","metamorphosis","meta-p","meta-p"
"36","37",0.900794130944129,"","metamorphosis","metamorphosis","meta-p","meta-p"
"37","38",0.86571369025268,"","metamorphosis","metamorphosis","meta-p","meta-p"
"38","43",0.80721120642958,"","other","direct development","other","direct development"
"39","40",0.900234641950121,"","other","direct development","other","direct development"
"40","41",0.867185037884033,"","other","direct development","other","direct development"
"41","42",0.817655577303228,"","other","direct development","other","direct development"
"42","43",0.765645307384126,"","other","direct development","other","direct development"
"43","44",0.692414565154548,"","other","direct development","other","direct development"
"44","45",0.668331503660096,"","other","direct development","other","direct development"
"45","46",0.655853570181088,"","other","direct development","other","direct development"
"46","112",0.629069571184395,"","other","direct development","other","direct development"
"47","48",0.938212863132565,"","metamorphosis","metamorphosis","meta-p","meta-p"
"48","55",0.898889385003148,"","metamorphosis","metamorphosis","meta-p","meta-p"
"49","50",0.986442875653742,"","other","paedomorphosis","other","paedomorphosis"
"50","54",0.922606843204776,"","metamorphosis","metamorphosis","meta-p","meta-p"
"51","53",0.948720085182129,"","metamorphosis","metamorphosis","meta-p","meta-p"
"52","53",0.956493472646361,"","metamorphosis","metamorphosis","meta-p","meta-p"
"53","54",0.909436008274078,"","metamorphosis","metamorphosis","meta-p","meta-p"
"54","55",0.899678228573421,"","metamorphosis","metamorphosis","meta-p","meta-p"
"55","110",0.805746929670977,"","metamorphosis","metamorphosis","meta-p","meta-p"
"56","57",0.981643123154216,"","other","direct development","other","direct development"
"57","58",0.973811407701401,"","other","direct development","other","direct development"
"58","63",0.934526108386686,"","other","direct development","other","direct development"
"59","60",0.961281783484733,"","other","direct development","other","direct development"
"60","61",0.950278289744591,"","other","direct development","other","direct development"
"61","62",0.943437412690107,"","other","direct development","other","direct development"
"62","63",0.925459638434314,"","other","direct development","other","direct development"
"63","64",0.896627257720702,"","other","direct development","other","direct development"
"64","65",0.865437106586855,"","other","direct development","other","direct development"
"65","109",0.742605866645484,"","other","direct development","other","direct development"
"66","67",0.864957875022616,"","other","direct development","other","direct development"
