node,xpleth,xplethMpleth,xplethMplethPpleth,xMpleth,meta-nf,meta,meta-dd-paed,meta-nf-dd-paed
107,x,x,x,x,M,M,M,M
108,x,x,x,x,M,M,M,M
109,x,x,x,x,M,M,M,M
110,x,x,x,x,M,M,M,M
111,x,x,x,x,M,M,M,M
112,x,x,x,x,M,M,M,M
113,x,x,x,x,M,M,M,M
114,x,x,x,x,M,M,M,M
115,x,x,x,x,M,M,M,M
116,x,x,x,x,M,M,M,M
117,x,x,x,x,M,M,M,M
118,x,x,x,x,M,M,M,M
119,x,x,x,x,M,M,M,M
120,x,x,x,x,M,M,M,M
121,x,x,x,x,M,M,M,M
122,x,x,x,x,M,M,M,M
123,x,x,x,x,M,M,M,M
124,x,x,x,x,M,M,M,M
125,x,x,x,x,M,M,M,M
126,x,x,x,x,M,M,M,M
127,x,x,x,x,M,M,M,M
128,x,x,x,x,M,M,M,M
129,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
130,pleth,pleth,pleth,x,x,x,D,D
131,pleth,pleth,pleth,x,x,x,D,D
132,pleth,pleth,pleth,x,x,x,D,D
133,pleth,pleth,pleth,x,x,x,D,D
134,pleth,pleth,pleth,x,x,x,D,D
135,pleth,pleth,pleth,x,x,x,D,D
136,pleth,pleth,pleth,x,x,x,D,D
137,pleth,pleth,pleth,x,x,x,D,D
138,pleth,pleth,pleth,x,x,x,D,D
139,pleth,pleth,pleth,x,x,x,D,D
140,pleth,pleth,pleth,x,x,x,D,D
141,pleth,pleth,pleth,x,x,x,D,D
142,pleth,pleth,pleth,x,x,x,D,D
143,pleth,pleth,pleth,x,x,x,D,D
144,pleth,pleth,pleth,x,x,x,D,D
145,pleth,pleth,pleth,x,x,x,D,D
146,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
147,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
148,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
149,pleth,pleth,pleth,x,x,x,D,D
150,pleth,pleth,pleth,x,x,x,D,D
151,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
152,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
153,pleth,pleth,pleth,x,x,x,D,D
154,pleth,pleth,pleth,x,x,x,D,D
155,pleth,pleth,pleth,x,x,x,D,D
156,pleth,pleth,pleth,x,x,x,D,D
157,pleth,pleth,pleth,x,x,x,D,D
158,pleth,pleth,pleth,x,x,x,D,D
159,pleth,pleth,pleth,x,x,x,D,D
160,pleth,pleth,pleth,x,x,x,D,D
161,pleth,pleth,pleth,x,x,x,D,D
162,pleth,pleth,pleth,x,x,x,D,D
163,pleth,pleth,pleth,x,x,x,D,D
164,pleth,pleth,pleth,x,x,x,D,D
165,pleth,pleth,pleth,x,x,x,D,D
166,pleth,pleth,pleth,x,x,x,D,D
167,pleth,pleth,pleth,x,x,x,D,D
168,pleth,pleth,pleth,x,x,x,D,D
169,pleth,pleth,pleth,x,x,x,D,D
170,pleth,pleth,pleth,x,x,x,D,D
171,pleth,pleth,pleth,x,x,x,D,D
172,pleth,pleth,pleth,x,x,x,D,D
173,pleth,pleth,pleth,x,x,x,D,D
174,pleth,pleth,pleth,x,x,x,D,D
175,pleth,pleth,pleth,x,x,x,D,D
176,pleth,pleth,pleth,x,x,x,D,D
177,pleth,pleth,pleth,x,x,x,D,D
178,pleth,pleth,pleth,x,x,x,D,D
179,pleth,pleth,pleth,x,x,x,D,D
180,pleth,pleth,pleth,x,x,x,D,D
181,pleth,pleth,pleth,x,x,x,D,D
182,pleth,pleth,pleth,x,x,x,D,D
183,pleth,pleth,pleth,x,x,x,D,D
184,pleth,pleth,pleth,x,x,x,D,D
185,pleth,pleth,pleth,x,x,x,D,D
186,pleth,pleth,pleth,x,x,x,D,D
187,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
188,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
189,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
190,pleth,pleth,Ppleth,x,x,x,P,P
191,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
192,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
193,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
194,pleth,Mpleth,Mpleth,Mpleth,Mpleth,M,M,Mpleth
195,x,x,x,x,x,x,P,P
