,aic.metamorphosis,aic.mpd,aic.mpdMpleth,aic.MxMpleth,aic.xMpleth,aic.xpleth,aic.xplethMpleth,aic.xplethMplethPpleth
BM1,12.62,12.62,12.62,12.62,12.62,12.62,12.62,12.62
BMS,14.50,16.51,17.10,15.12,13.17,14.41,15.04,16.64
OUM,12.84,10.77,7.97,14.87,7.55,12.14,7.71,9.51
OUMV,14.48,13.21,6.17,11.46,2.16,14.11,4.27,7.56
OUMVA,78.07,8.92,-2792265613081.25,28.91,2.69,16.11,-2786.65,11.89
,,,,,,,,
,,,,,,,,
,BM1,BMS,OUM,OUMV,OUMVA,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,BM1,BMS,OUM,OUMV,OUMVA,,,
xMpleth,12.62,13.17,7.55,2.16,2.69,,,
xpleth,12.62,14.41,12.14,14.11,16.11,,,
metamorphosis,12.62,14.50,12.84,14.48,78.07,,,
xplethMpleth,12.62,15.04,7.71,4.27,-2786.65,,,
MxMpleth,12.62,15.12,14.87,11.46,28.91,,,
mpd,12.62,16.51,10.77,13.21,8.92,,,
xplethMplethPpleth,12.62,16.64,9.51,7.56,11.89,,,
mpdMpleth,12.62,17.10,7.97,6.17,-2792265613081.25,,,
