"","aic","aic.c","sic","dof","tree"
"BM",12.6183300862262,12.7348349405952,17.9452082744504,2,"av_ultra_fulldataset.nex"
"mpdMpleth",10.1863170160104,11.0348018644952,26.1669515806828,6,"av_ultra_fulldataset.nex"
"xMpleth",12.8129309564063,13.2089705603667,23.4666873328546,4,"av_ultra_fulldataset.nex"
"MxMpleth",13.0991052792855,13.6991052792855,26.4163007498458,5,"av_ultra_fulldataset.nex"
"mpd",12.8942805498706,13.4942805498706,26.2114760204309,5,"av_ultra_fulldataset.nex"
"metamorphosis",13.940930223667,14.3369698276274,24.5946866001153,4,"av_ultra_fulldataset.nex"
"BM1",5.37541056610414,5.49191542047307,10.7022887543283,2,"av_ultra_nomiss.nex"
"mpdMpleth1",4.58613332255109,5.43461817103594,20.5667678872235,6,"av_ultra_nomiss.nex"
"xMpleth1",5.02190851620969,5.41794812017009,15.675664892658,4,"av_ultra_nomiss.nex"
"MxMpleth1",5.35528694804879,5.95528694804879,18.6724824186091,5,"av_ultra_nomiss.nex"
"mpd1",7.05810952212614,7.65810952212614,20.3753049926865,5,"av_ultra_nomiss.nex"
"metamorphosis1",6.28276131402144,6.67880091798184,16.9365176904697,4,"av_ultra_nomiss.nex"
"BM2",-1.99889786507336,-1.88239301070443,3.32798032315077,2,"ultra_av_fulldataset.nex"
"mpdMpleth2",-1.73472243709065,-0.886237588605805,14.2459121275817,6,"ultra_av_fulldataset.nex"
"xMpleth2",-2.1897221255072,-1.79368252154681,8.46403425094107,4,"ultra_av_fulldataset.nex"
"MxMpleth2",-1.48258047410044,-0.882580474100445,11.8346149964599,5,"ultra_av_fulldataset.nex"
"mpd2",0.610076008943494,1.21007600894349,13.9272714795038,5,"ultra_av_fulldataset.nex"
"metamorphosis2",-0.614681372491134,-0.218641768530738,10.0390750039571,4,"ultra_av_fulldataset.nex"
"BM3",5.24253900656163,5.35904386093056,10.5694171947858,2,"ultra_av_nomiss.nex"
"mpdMpleth3",4.82983137816782,5.67831622665267,20.8104659428402,6,"ultra_av_nomiss.nex"
"xMpleth3",5.19588151408784,5.59192111804824,15.8496378905361,4,"ultra_av_nomiss.nex"
"MxMpleth3",5.852673162008,6.452673162008,19.1698686325683,5,"ultra_av_nomiss.nex"
"mpd3",7.24440627091111,7.84440627091111,20.5616017414714,5,"ultra_av_nomiss.nex"
"metamorphosis3",6.71667494290958,7.11271454686997,17.3704313193578,4,"ultra_av_nomiss.nex"
