labels,nodes,ancestors,times,genomesize,plethodontids,MPD_Manc,pleth,metamorphosis,MPD_Danc,MPDpleth,xMP,MxMP
,1,NA,0,NA,NA,M,NP,M,M,M,x,M
,2,84,0.5981118038,NA,NA,P,NP,x,P,P,x,x
,3,4,0.7165505669,NA,NA,M,P,M,M,MP,MP,MP
,4,10,0.6126867746,NA,NA,M,P,M,M,MP,MP,MP
,5,9,0.7931904136,NA,NA,M,P,M,M,MP,MP,MP
,6,9,0.8356363287,NA,NA,M,P,M,M,MP,MP,MP
,7,8,0.9907610185,NA,NA,P,P,x,P,P,x,x
,8,9,0.7470845058,NA,NA,M,P,M,M,MP,MP,MP
,9,10,0.710481579,NA,NA,M,P,M,M,MP,MP,MP
,10,45,0.5049289901,NA,NA,M,P,M,M,MP,MP,MP
,11,14,0.8086733827,NA,NA,D,P,x,D,D,x,x
,12,13,0.744012512,NA,NA,D,P,x,D,D,x,x
,13,14,0.730999538,NA,NA,D,P,x,D,D,x,x
,14,15,0.7076885846,NA,NA,D,P,x,D,D,x,x
,15,16,0.7036405927,NA,NA,D,P,x,D,D,x,x
,16,18,0.5901688197,NA,NA,D,P,x,D,D,x,x
,17,18,0.8248493503,NA,NA,D,P,x,D,D,x,x
,18,44,0.4382001236,NA,NA,D,P,x,D,D,x,x
,19,20,0.7701394597,NA,NA,D,P,x,D,D,x,x
,20,21,0.6301277397,NA,NA,D,P,x,D,D,x,x
,21,23,0.5136859726,NA,NA,D,P,x,D,D,x,x
,22,23,0.5263159474,NA,NA,D,P,x,D,D,x,x
,23,43,0.4186531627,NA,NA,D,P,x,D,D,x,x
,24,25,0.8877832244,NA,NA,D,P,x,D,D,x,x
,25,28,0.7699544601,NA,NA,D,P,x,D,D,x,x
,26,27,0.787509425,NA,NA,D,P,x,D,D,x,x
,27,28,0.743009514,NA,NA,D,P,x,D,D,x,x
,28,30,0.7030395939,NA,NA,D,P,x,D,D,x,x
,29,30,0.6090747819,NA,NA,D,P,x,D,D,x,x
,30,42,0.6037277925,NA,NA,D,P,x,D,D,x,x
,31,32,0.7599664801,NA,NA,D,P,x,D,D,x,x
,32,41,0.6462877074,NA,NA,D,P,x,D,D,x,x
,33,40,0.722489555,NA,NA,D,P,x,D,D,x,x
,34,35,0.8944252111,NA,NA,D,P,x,D,D,x,x
,35,40,0.6728676543,NA,NA,D,P,x,D,D,x,x
,36,38,0.6145827708,NA,NA,D,P,x,D,D,x,x
,37,38,0.7447055106,NA,NA,D,P,x,D,D,x,x
,38,39,0.5635458729,NA,NA,D,P,x,D,D,x,x
,39,40,0.5440959118,NA,NA,D,P,x,D,D,x,x
,40,41,0.5154579691,NA,NA,D,P,x,D,D,x,x
,41,42,0.5043699913,NA,NA,D,P,x,D,D,x,x
,42,43,0.4016191968,NA,NA,D,P,x,D,D,x,x
,43,44,0.3514092972,NA,NA,D,P,x,D,D,x,x
,44,45,0.3320863358,NA,NA,D,P,x,D,D,x,x
,45,46,0.3092393815,NA,NA,M,P,x,D,D,x,x
,46,68,0.2309725381,NA,NA,M,P,x,D,D,x,x
,47,48,0.8211993576,NA,NA,D,P,x,D,D,x,x
,48,67,0.5592738815,NA,NA,D,P,x,D,D,x,x
,49,50,0.8134493731,NA,NA,M,P,M,M,MP,MP,MP
,50,51,0.7332025336,NA,NA,M,P,M,M,MP,MP,MP
,51,52,0.7116905766,NA,NA,M,P,M,M,MP,MP,MP
,52,57,0.6037237926,NA,NA,D,P,x,D,D,x,x
,53,54,0.5456549087,NA,NA,D,P,x,D,D,x,x
,54,55,0.531000938,NA,NA,D,P,x,D,D,x,x
,55,56,0.4709730581,NA,NA,D,P,x,D,D,x,x
,56,57,0.4529310941,NA,NA,D,P,x,D,D,x,x
,57,58,0.3187843624,NA,NA,D,P,x,D,D,x,x
,58,67,0.2792934414,NA,NA,D,P,x,D,D,x,x
,59,60,0.6677566645,NA,NA,D,P,x,D,D,x,x
,60,66,0.4125731749,NA,NA,D,P,x,D,D,x,x
,61,62,0.7616504767,NA,NA,D,P,x,D,D,x,x
,62,63,0.7459585081,NA,NA,D,P,x,D,D,x,x
