labels,nodes,ancestors,times,genomesize,plethodontids,meta.dd.paed,xpleth,meta,meta.nf.dd.paed,mpdND,xplethMplethPpleth,xMpleth,meta.nf,xplethMpleth,OU1,fivereg
,1,NA,0,NA,NA,M,x,M,M,M,x,x,M,x,global,M
,2,84,0.598111804,NA,NA,P,x,x,P,P,x,x,x,x,global,P
,3,4,0.716550567,NA,NA,M,pleth,M,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,global,Mpleth
,4,10,0.612686775,NA,NA,M,pleth,M,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,global,Mpleth
,5,9,0.793190414,NA,NA,M,pleth,M,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,global,Mpleth
,6,9,0.835636329,NA,NA,M,pleth,M,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,global,Mpleth
,7,8,0.990761019,NA,NA,P,pleth,x,P,Mpleth,Ppleth,x,x,pleth,global,P
,8,9,0.747084506,NA,NA,M,pleth,M,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,global,Mpleth
,9,10,0.710481579,NA,NA,M,pleth,M,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,global,Mpleth
,10,45,0.50492899,NA,NA,M,pleth,M,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,Mpleth,global,Mpleth
,11,14,0.808673383,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,12,13,0.744012512,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,13,14,0.730999538,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,14,15,0.707688585,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,15,16,0.703640593,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,16,18,0.59016882,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,17,18,0.82484935,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,18,44,0.438200124,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,19,20,0.77013946,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,20,21,0.63012774,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,21,23,0.513685973,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,22,23,0.526315947,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,23,43,0.418653163,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,24,25,0.887783224,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,25,28,0.76995446,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,26,27,0.787509425,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,27,28,0.743009514,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,28,30,0.703039594,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,29,30,0.609074782,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,30,42,0.603727793,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,31,32,0.75996648,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,32,41,0.646287707,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
,33,40,0.722489555,NA,NA,D,pleth,x,D,D,pleth,x,x,pleth,global,D
