"","labels","nodes","ancestors","times","genomesize","plethodontids","lifehistory","OU1","pleth","metamorphosis","mpd","mpdMpleth","xMpleth","MxMpleth"
"1","","1",NA,0,NA,"nonp","M","global","nonp","M","M","M","x","M"
"2","","2","6",0.938624061375939,NA,"nonp","M","global","nonp","M","M","M","x","M"
"3","","3","4",0.721740278259722,NA,"nonp","M","global","nonp","M","M","M","x","M"
"4","","4","5",0.713287286712713,NA,"nonp","M","global","nonp","M","M","M","x","M"
"5","","5","6",0.485041514958485,NA,"nonp","M","global","nonp","M","M","M","x","M"
"6","","6","1",0.133939866060134,NA,"nonp","M","global","nonp","M","M","M","x","M"
"7","","7","8",0.856595143404857,NA,"nonp","M","global","nonp","x","P","P","x","x"
"8","","8","94",0.673472326527673,NA,"nonp","M","global","nonp","x","P","P","x","x"
"9","","9","11",0.894716105283895,NA,"nonp","M","global","nonp","M","M","M","x","M"
"10","","10","11",0.922101077898922,NA,"nonp","M","global","nonp","M","M","M","x","M"
"11","","11","12",0.876099123900876,NA,"nonp","M","global","nonp","M","M","M","x","M"
"12","","12","17",0.448301551698448,NA,"nonp","M","global","nonp","M","M","M","x","M"
"13","","13","15",0.952785047214953,NA,"nonp","M","global","nonp","M","M","M","x","M"
"14","","14","15",0.943323056676943,NA,"nonp","M","global","nonp","M","M","M","x","M"
"15","","15","16",0.878526121473878,NA,"nonp","M","global","nonp","M","M","M","x","M"
"16","","16","17",0.667988332011668,NA,"nonp","M","global","nonp","M","M","M","x","M"
"17","","17","93",0.166271833728166,NA,"nonp","M","global","nonp","M","M","M","x","M"
"18","","18","92",0.18962881037119,NA,"nonp","M","global","nonp","x","P","P","x","x"
"19","","19","20",0.820796179203821,NA,"nonp","M","global","pleth","x","D","D","x","x"
"20","","20","21",0.652341347658652,NA,"nonp","M","global","pleth","x","D","D","x","x"
"21","","21","26",0.526493473506526,NA,"nonp","M","global","pleth","x","D","D","x","x"
"22","","22","25",0.861191138808861,NA,"nonp","M","global","pleth","x","D","D","x","x"
"23","","23","24",0.847248152751847,NA,"nonp","M","global","pleth","x","D","D","x","x"
"24","","24","25",0.733839266160734,NA,"nonp","M","global","pleth","x","D","D","x","x"
"25","","25","26",0.661357338642661,NA,"nonp","M","global","pleth","x","D","D","x","x"
"26","","26","39",0.413782586217414,NA,"nonp","M","global","pleth","x","D","D","x","x"
"27","","27","38",0.631890368109632,NA,"nonp","M","global","pleth","x","D","D","x","x"
"28","","28","29",0.765567234432766,NA,"nonp","M","global","pleth","x","D","D","x","x"
"29","","29","30",0.6997573002427,NA,"nonp","M","global","pleth","x","D","D","x","x"
"30","","30","31",0.636827363172637,NA,"nonp","M","global","pleth","x","D","D","x","x"
"31","","31","36",0.558396441603558,NA,"nonp","M","global","pleth","x","D","D","x","x"
"32","","32","33",0.87978712021288,NA,"nonp","M","global","pleth","M","M","Mpleth","Mpleth","Mpleth"
"33","","33","34",0.856566143433857,NA,"nonp","M","global","pleth","M","M","Mpleth","Mpleth","Mpleth"
"34","","34","35",0.79007620992379,NA,"nonp","M","global","pleth","M","M","Mpleth","Mpleth","Mpleth"
